EXERCÍCIO,CÓDIGO ÓRGÃO SUPERIOR,NOME ÓRGÃO SUPERIOR,CÓDIGO ÓRGÃO SUBORDINADO,NOME ÓRGÃO SUBORDINADO,CÓDIGO UNIDADE ORÇAMENTÁRIA,NOME UNIDADE ORÇAMENTÁRIA,CÓDIGO FUNÇÃO,NOME FUNÇÃO,CÓDIGO SUBFUNÇÃO,NOME SUBFUNÇÃO,CÓDIGO PROGRAMA ORÇAMENTÁRIO,NOME PROGRAMA ORÇAMENTÁRIO,CÓDIGO AÇÃO,NOME AÇÃO,CÓDIGO CATEGORIA ECONÔMICA,NOME CATEGORIA ECONÔMICA,CÓDIGO GRUPO DE DESPESA,NOME GRUPO DE DESPESA,CÓDIGO ELEMENTO DE DESPESA,NOME ELEMENTO DE DESPESA,ORÇAMENTO INICIAL (R$),ORÇAMENTO ATUALIZADO (R$),ORÇAMENTO EMPENHADO (R$),ORÇAMENTO REALIZADO (R$),% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)
2026,26000,Ministério da Educação,26230,Fundação Universidade Federal do Vale do São Francisco,26230,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,16834.96,16834.96,410.6,410.6,2.44
2026,26000,Ministério da Educação,26450,Universidade Federal do Sul da Bahia,26450,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,114186763.0,114186763.0,114186763.0,7620384.14,6.67
2026,26000,Ministério da Educação,26238,Universidade Federal de Minas Gerais,26238,UNIVERSIDADE FEDERAL DE MINAS GERAIS,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,48,Outros Auxílios Financeiros a Pessoas Físicas,684.35,684.35,684.35,609.08,89.0
2026,26000,Ministério da Educação,26280,Fundação Universidade Federal de São Carlos,26280,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,39311079.14,39311079.14,39311079.14,33148980.8,84.32
2026,26000,Ministério da Educação,26236,Universidade Federal Fluminense,26236,UNIVERSIDADE FEDERAL FLUMINENSE,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,25000.0,25000.0,25000.0,4485.0,17.94
2026,26000,Ministério da Educação,26269,Universidade Federal do Estado do Rio de Janeiro,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,297750000.0,297750000.0,297750000.0,17637092.03,5.92
2026,26000,Ministério da Educação,26448,Universidade Federal do Sul e Sudeste do Pará,26448,UNIV.FED.DO SUL E SUDESTE DO PARA - UNIFESSPA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,4400.0,4400.0,4399.85,0.0,0.0
2026,26000,Ministério da Educação,26231,Universidade Federal de Alagoas,26231,UNIVERSIDADE FEDERAL DE ALAGOAS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,582120882.0,582120882.0,582120882.0,26153794.17,4.49
2026,26000,Ministério da Educação,26284,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,26284,FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,1650.0,1650.0,1650.0,1590.0,96.36
2026,26000,Ministério da Educação,26447,Universidade Federal do Oeste da Bahia,26447,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA - UFOB,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,110833907.0,110833907.0,110833907.0,7545199.35,6.81
2026,26000,Ministério da Educação,26245,Universidade Federal do Rio de Janeiro,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,260000.0,260000.0,260000.0,22984.45,8.84
2026,26000,Ministério da Educação,26263,Universidade Federal de Lavras,26263,UNIVERSIDADE FEDERAL DE LAVRAS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,106000000.0,106000000.0,105407400.0,18689825.48,17.63
2026,26000,Ministério da Educação,26267,Universidade Federal da Integração Latino-Americana,26267,UNIVERS. FEDERAL DA INTEG. LATINO AMERICANA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,4998.29,4998.29,4998.29,0.0,0.0
2026,26000,Ministério da Educação,26243,Universidade Federal do Rio Grande do Norte,26243,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,73599100.0,73599100.0,73599100.0,43104474.44,58.57
